people_id,name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld_id,species_id
1,Luke Skywalker,172,77,blond,fair,blue,19BBY,male,1,1
2,C-3PO,167,75,n/a,gold,yellow,112BBY,n/a,1,2
3,R2-D2,96,32,n/a,"white, blue",red,33BBY,n/a,8,2
4,Darth Vader,202,136,none,white,yellow,41.9BBY,male,1,1
5,Leia Organa,150,49,brown,light,brown,19BBY,female,2,1
6,Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,1,1
7,Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,1,1
8,R5-D4,97,32,n/a,"white, red",red,unknown,n/a,1,2
9,Biggs Darklighter,183,84,black,light,brown,24BBY,male,1,1
10,Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,20,1
11,Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,1,1
12,Wilhuff Tarkin,180,unknown,"auburn, grey",fair,blue,64BBY,male,21,1
13,Chewbacca,228,112,brown,unknown,blue,200BBY,male,14,3
14,Han Solo,180,80,brown,fair,brown,29BBY,male,22,1
15,Greedo,173,74,n/a,green,black,44BBY,male,23,4
16,Jabba Desilijic Tiure,175,"1,358",n/a,"green-tan, brown",orange,600BBY,hermaphrodite,24,5
17,Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,22,1
18,Jek Tono Porkins,180,110,brown,fair,blue,unknown,male,26,1
19,Yoda,66,17,white,green,brown,896BBY,male,28,6
20,Palpatine,170,75,grey,pale,yellow,82BBY,male,8,1
21,Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,10,1
22,IG-88,200,140,none,metal,red,15BBY,none,28,2
23,Bossk,190,113,none,green,red,53BBY,male,29,7
24,Lando Calrissian,177,79,black,dark,brown,31BBY,male,30,1
25,Lobot,175,79,none,light,blue,37BBY,male,6,1
26,Ackbar,180,83,none,brown mottle,orange,41BBY,male,31,8
27,Mon Mothma,150,unknown,auburn,fair,blue,48BBY,female,32,1
28,Arvel Crynyd,unknown,unknown,brown,fair,brown,unknown,male,28,1
29,Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,7,9
30,Nien Nunb,160,68,none,grey,black,unknown,male,33,10
31,Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,28,1
32,Nute Gunray,191,90,none,mottled green,red,unknown,male,18,11
33,Finis Valorum,170,unknown,blond,fair,blue,91BBY,male,9,1
34,Padmé Amidala,185,45,brown,light,brown,46BBY,female,8,1
35,Jar Jar Binks,196,66,none,orange,orange,52BBY,male,8,12
36,Roos Tarpals,224,82,none,grey,orange,unknown,male,8,12
37,Rugor Nass,206,unknown,none,green,orange,unknown,male,8,12
38,Ric Olié,183,unknown,brown,fair,blue,unknown,male,8,1
39,Watto,137,unknown,black,"blue, grey",yellow,unknown,male,34,13
40,Sebulba,112,40,none,"grey, red",orange,unknown,male,35,14
41,Quarsh Panaka,183,unknown,black,dark,brown,62BBY,male,8,1
42,Shmi Skywalker,163,unknown,black,fair,brown,72BBY,female,1,1
43,Darth Maul,175,80,none,red,yellow,54BBY,male,36,22
44,Bib Fortuna,180,unknown,none,pale,pink,unknown,male,37,15
45,Ayla Secura,178,55,none,blue,hazel,48BBY,female,37,15
46,Ratts Tyerel,79,15,none,"grey, blue",unknown,unknown,male,38,16
47,Dud Bolt,94,45,none,"blue, grey",yellow,unknown,male,39,17
48,Gasgano,122,unknown,none,"white, blue",black,unknown,male,40,18
49,Ben Quadinaros,163,65,none,"grey, green, yellow",orange,unknown,male,41,19
50,Mace Windu,188,84,none,dark,brown,72BBY,male,42,1
51,Ki-Adi-Mundi,198,82,white,pale,yellow,92BBY,male,43,20
52,Kit Fisto,196,87,none,green,black,unknown,male,44,21
53,Eeth Koth,171,unknown,black,brown,brown,unknown,male,45,22
54,Adi Gallia,184,50,none,dark,blue,unknown,female,9,23
55,Saesee Tiin,188,unknown,none,pale,orange,unknown,male,47,24
56,Yarael Poof,264,unknown,none,white,yellow,unknown,male,48,25
57,Plo Koon,188,80,none,orange,black,22BBY,male,49,26
58,Mas Amedda,196,unknown,none,blue,blue,unknown,male,50,27
59,Gregar Typho,185,85,black,dark,brown,unknown,male,8,1
60,Cordé,157,unknown,brown,light,brown,unknown,female,8,1
61,Cliegg Lars,183,unknown,brown,fair,blue,82BBY,male,1,1
62,Poggle the Lesser,183,80,none,green,yellow,unknown,male,11,28
63,Luminara Unduli,170,56.2,black,yellow,blue,58BBY,female,51,29
64,Barriss Offee,166,50,black,yellow,blue,40BBY,female,51,29
65,Dormé,165,unknown,brown,light,brown,unknown,female,8,1
66,Dooku,193,80,white,fair,brown,102BBY,male,52,1
67,Bail Prestor Organa,191,unknown,black,tan,brown,67BBY,male,2,1
68,Jango Fett,183,79,black,tan,brown,66BBY,male,53,1
69,Zam Wesell,168,55,blonde,"fair, green, yellow",yellow,unknown,female,54,30
70,Dexter Jettster,198,102,none,brown,yellow,unknown,male,55,31
71,Lama Su,229,88,none,grey,black,unknown,male,10,32
72,Taun We,213,unknown,none,grey,black,unknown,female,10,32
73,Jocasta Nu,167,unknown,white,fair,blue,unknown,female,9,1
74,R4-P17,96,unknown,none,"silver, red","red, blue",unknown,female,28,1
75,Wat Tambor,193,48,none,"green, grey",unknown,unknown,male,56,33
76,San Hill,191,unknown,none,grey,gold,unknown,male,57,34
77,Shaak Ti,178,57,none,"red, blue, white",black,unknown,female,58,35
78,Grievous,216,159,none,"brown, white","green, yellow",unknown,male,59,36
79,Tarfful,234,136,brown,brown,blue,unknown,male,14,3
80,Raymus Antilles,188,79,brown,light,brown,unknown,male,2,1
81,Sly Moore,178,48,none,pale,white,unknown,female,60,1
82,Tion Medon,206,80,none,grey,black,unknown,male,12,37
